NEW MODEL ALERTS REPORT
Generated on: 2026-02-19 04:45:46
======================================================================

[LMArena - TOP 20]
RANK  SCORE    TRACKED?             MODEL NAME
----------------------------------------------------------------------
1     1504.0   [YES]                claude-opus-4-6
2     1504.0   [YES]                claude-opus-4-6-thinking
3     1487.0   [YES]                gemini-3-pro
4     1474.0   [NO] !!!             dola-seed-2.0-preview
5     1474.0   [YES]                grok-4.1-thinking
6     1474.0   [YES]                gemini-3-flash
7     1471.0   [YES]                claude-opus-4-5-20251101-thinking-32k
8     1467.0   [NO] !!!             claude-opus-4-5-20251101
9     1462.0   [NO] !!!             grok-4.1
10    1461.0   [YES]                gemini-3-flash (thinking-minimal)
11    1457.0   [YES]                gpt-5.1-high
12    1455.0   [YES]                glm-5
13    1452.0   [YES]                ernie-5.0-0110
14    1450.0   [NO] !!!             claude-sonnet-4-5-20250929
15    1450.0   [YES]                kimi-k2.5-thinking
16    1449.0   [YES]                claude-sonnet-4-5-20250929-thinking-32k
17    1449.0   [YES]                gemini-2.5-pro
18    1449.0   [NO] !!!             ernie-5.0-preview-1203
19    1449.0   [YES]                claude-opus-4-1-20250805-thinking-16k
20    1447.0   [NO] !!! [NEW]       qwen3.5-397b-a17b

[Artificial Analysis - TOP 20]
RANK  SCORE    TRACKED?             MODEL NAME
----------------------------------------------------------------------
1     53.0     [NO] !!! [NEW]       Claude Opus 4.6 (max)
2     51.0     [NO] !!! [NEW]       Claude Sonnet 4.6 (max)
3     51.0     [YES]                GPT-5.2 (xhigh)
4     50.0     [YES]                Claude Opus 4.5
5     50.0     [YES]                GLM-5
6     49.0     [NO] !!!             GPT-5.2 Codex (xhigh)
7     48.0     [YES]                Gemini 3 Pro Preview (high)
8     48.0     [YES]                GPT-5.1 (high)
9     47.0     [YES]                Kimi K2.5
10    47.0     [NO] !!!             GPT-5.2 (medium)
11    46.0     [YES]                Gemini 3 Flash
12    46.0     [NO] !!!             Claude Opus 4.6
13    45.0     [NO] !!!             Qwen3.5 397B A17B
14    45.0     [YES]                GPT-5 (high)
15    45.0     [NO] !!!             GPT-5 Codex (high)
16    44.0     [NO] !!! [NEW]       Claude Sonnet 4.6
17    43.0     [YES]                Claude Opus 4.5
18    43.0     [YES]                Claude 4.5 Sonnet
19    42.0     [NO] !!!             GPT-5.1 Codex (high)
20    42.0     [YES]                GLM-4.7

[LiveBench - TOP 20]
RANK  SCORE    TRACKED?             MODEL NAME
----------------------------------------------------------------------
1     76.33    [YES]                Claude 4.6 Opus Thinking High Effort
2     75.96    [YES]                Claude 4.5 Opus Thinking High Effort
3     75.32    [NO] !!!             Claude 4.6 Sonnet Thinking High Effort
4     74.84    [YES]                GPT-5.2 High
5     74.3     [NO] !!!             GPT-5.2 Codex
6     73.98    [NO] !!!             GPT-5.1 Codex Max High
7     73.39    [YES]                Gemini 3 Pro Preview High
8     72.4     [YES]                Gemini 3 Flash Preview High
9     72.04    [YES]                GPT-5.1 High
10    70.48    [YES]                GPT-5 Pro
11    69.07    [YES]                Kimi K2.5 Thinking
12    68.85    [YES]                GLM 5
13    68.61    [NO] !!!             GPT-5.1 Codex
14    68.19    [YES]                Claude Sonnet 4.5 Thinking
15    65.91    [YES]                GPT-5 Mini High
16    62.2     [YES]                DeepSeek V3.2 Thinking
17    62.02    [NO] !!!             Grok 4
18    61.81    [YES]                Claude 4.1 Opus Thinking
19    61.59    [YES]                Kimi K2 Thinking
20    61.32    [YES]                Claude Haiku 4.5 Thinking
