aiw,lma,aa,lb
gemini-3-pro,gemini-3-pro,Gemini 3 Pro Preview (high),Gemini 3 Pro Preview High
gemini-3-flash,gemini-3-flash,Gemini 3 Flash,Gemini 3 Flash Preview High
gemini-2-5-pro,gemini-2.5-pro,Gemini 2.5 Pro,Gemini 2.5 Pro (Max Thinking)
gemini-2-5-flash,gemini-2.5-flash,Gemini 2.5 Flash (Sep),Gemini 2.5 Flash (Max Thinking) (2025-09-25)
grok-4-1-thinking,grok-4-1-thinking,,
grok-4-1-fast,grok-4-1-fast-reasoning,Grok 4.1 Fast,Grok 4.1 Fast
claude-opus-4-5-thinking,claude-opus-4-5-20251101-thinking-32k,Claude Opus 4.5,Claude 4.5 Opus Thinking High Effort
claude-sonnet-4-5-thinking,claude-sonnet-4-5-20250929-thinking-32k,Claude 4.5 Sonnet,Claude Sonnet 4.5 Thinking
claude-opus-4-1,claude-opus-4-1-20250805,,Claude 4.1 Opus Thinking
claude-haiku-4-5,claude-haiku-4-5-20251001,Claude 4.5 Haiku,Claude Haiku 4.5 Thinking
kimi-k2-thinking,kimi-k2-thinking-turbo,Kimi K2 Thinking,Kimi K2 Thinking
gpt-5-1,gpt-5.1-high,GPT-5.1 (high),GPT-5.1 High
gpt-5-high,gpt-5-high,GPT-5 (high),GPT-5 Pro
gpt-5-mini,gpt-5-mini-high,GPT-5 mini (high),GPT-5 Mini High
gpt-oss,gpt-oss-120b,gpt-oss-120B (high),GPT OSS 120b
gpt-5-nano,gpt-5-nano-high,GPT-5 nano (high),GPT-5 Nano
nemotron-ultra-v1,llama-3.1-nemotron-ultra-253b-v1,Llama Nemotron Ultra,
nemotron-super-v1-5,nvidia-llama-3.3-nemotron-super-49b-v1.5,Llama Nemotron Super 49B v1.5,
nemotron-3-nano,nvidia-nemotron-3-nano-30b-a3b-bf16,NVIDIA Nemotron 3 Nano,
magistral-medium,magistral-medium-2506,Magistral Medium 1.2,
