model;name;logo;lma;aa;lb
gemini-3-pro;Gemini 3 Pro;gemini;1487;48;73.39
grok-4-1-thinking;Grok 4.1 (Thinking);grok;1475;;
gemini-3-flash;Gemini 3 Flash;gemini;1471;46;72.4
claude-opus-4-5-thinking;Claude Opus 4.5 (Thinking);claude;1468;50;75.96
gpt-5.2;GPT-5.2 (Thinking);gpt;1440;51;74.84
gpt-5-1;GPT-5.1 (Thinking);gpt;1459;48;72.04
gemini-2-5-pro;Gemini 2.5 Pro;gemini;1450;34;58.33
claude-sonnet-4-5-thinking;Claude Sonnet 4.5 (Thinking);claude;1450;43;68.19
claude-opus-4-1;Claude Opus 4.1;claude;1448;32;61.81
gpt-5-high;GPT-5 (Thinking);gpt;1435;45;70.48
o3-2025-04-16;o3;gpt;1433;41;
glm-4-6;GLM 4.6;zai;1425;33;55.19
qwen3-max;Qwen 3 Max;qwen;1425;29;52.97
kimi-k2-thinking;Kimi-K2 (Thinking);moonshot;1429;41;61.59
deepseek-v3-2-exp-thinking;DeepSeek v3.2 (Thinking);deepseek;;;
grok-4-1-fast;Grok 4.1 Fast;grok;1430;39;59.99
deepseek-v3-1-terminus;DeepSeek v3.1 Terminus;deepseek;;;
deepseek-v3-1-terminus-thinking;DeepSeek v3.1 Terminus (Thinking);deepseek;;;
deepseek-v3-2-exp;DeepSeek v3.2 (exp);deepseek;;;
mistral-medium-2508;Mistral;mistral;;;
magistral-medium;Magistral Medium;mistral;1305;27;
grok-4;Grok 4;grok;;;
gemini-2-5-flash;Gemini 2.5 Flash;gemini;1409;31;53.09
claude-haiku-4-5;Claude Haiku 4.5;claude;1403;37;61.32
gpt-5-mini;GPT-5 Mini;gpt;1390;41;65.91
glm-4-5-air;GLM 4.5 Air;zai;;;
gpt-oss;GPT-OSS;gpt;1354;33;46.09
nemotron-ultra-v1;Nemotron Ultra v1;nemotron;1347;20;
gpt-5-nano;GPT-5 Nano;gpt;1338;27;48.62
llama-3-1-405b-instruct-bf16;Llama 3.1;meta;;;
llama-4-maverick-17b-128e-instruct;Llama 4 Maverick;meta;;;
nemotron-super-v1-5;Nemotron Super v1.5;nemotron;1341;19;
nemotron-3-nano;Nemotron 3 Nano;nemotron;1317;24;
minimax-m2;MiniMax M2;minimax;;;
ernie-5.0;ERNIE 5.0;baidu;1453;29;
kimi-k2.5-thinking;Kimi K2.5 (Thinking);moonshot;1450;47;69.07
