date,number
2022-03-02,29651
2022-03-03,29729
2022-03-04,29813
2022-03-05,29869
2022-03-06,29925
2022-03-07,30037
2022-03-08,30188
2022-03-09,30326
2022-03-10,30459
2022-03-11,30545
2022-03-12,30625
2022-03-13,30709
2022-03-14,30827
2022-03-15,30961
2022-03-16,31109
2022-03-17,31200
2022-03-18,31311
2022-03-19,31380
2022-03-20,31439
2022-03-21,31552
2022-03-22,31681
2022-03-23,31829
2022-03-24,31997
2022-03-25,32097
2022-03-26,32153
2022-03-27,32243
2022-03-28,32357
2022-03-29,32478
2022-03-30,32590
2022-03-31,32722
2022-04-01,32875
2022-04-02,32984
2022-04-03,33071
2022-04-04,33220
2022-04-05,33360
2022-04-06,33509
2022-04-07,33688
2022-04-08,33846
2022-04-09,33951
2022-04-10,34329
2022-04-11,34615
2022-04-12,34816
2022-04-13,35133
2022-04-14,35336
2022-04-15,35632
2022-04-16,35792
2022-04-17,35939
2022-04-18,36131
2022-04-19,36360
2022-04-20,36665
2022-04-21,36882
2022-04-22,37051
2022-04-23,37221
2022-04-24,37353
2022-04-25,37492
2022-04-26,37665
2022-04-27,37808
2022-04-28,37987
2022-04-29,38135
2022-04-30,38277
2022-05-01,38435
2022-05-02,38587
2022-05-03,38789
2022-05-04,38965
2022-05-05,39252
2022-05-06,39508
2022-05-07,39664
2022-05-08,39838
2022-05-09,40252
2022-05-10,40593
2022-05-11,40894
2022-05-12,41069
2022-05-13,41244
2022-05-14,41508
2022-05-15,41756
2022-05-16,41992
2022-05-17,42242
2022-05-18,42486
2022-05-19,42657
2022-05-20,42825
2022-05-21,43222
2022-05-22,43503
2022-05-23,43919
2022-05-24,44179
2022-05-25,44382
2022-05-26,44530
2022-05-27,44700
2022-05-28,44807
2022-05-29,44958
2022-05-30,45126
2022-05-31,45391
2022-06-01,45586
2022-06-02,46036
2022-06-03,46164
2022-06-04,46375
2022-06-05,46534
2022-06-06,46767
2022-06-07,47010
2022-06-08,47250
2022-06-09,47560
2022-06-10,47775
2022-06-11,47976
2022-06-12,48342
2022-06-13,48675
2022-06-14,49044
2022-06-15,49396
2022-06-16,49634
2022-06-17,49847
2022-06-18,50038
2022-06-19,50205
2022-06-20,50411
2022-06-21,50672
2022-06-22,50876
2022-06-23,51027
2022-06-24,51210
2022-06-25,51308
2022-06-26,51411
2022-06-27,51565
2022-06-28,51724
2022-06-29,52021
2022-06-30,52188
2022-07-01,52331
2022-07-02,52474
2022-07-03,52591
2022-07-04,52784
2022-07-05,52960
2022-07-06,53112
2022-07-07,53302
2022-07-08,53642
2022-07-09,53882
2022-07-10,54314
2022-07-11,54673
2022-07-12,54847
2022-07-13,55075
2022-07-14,55263
2022-07-15,55448
2022-07-16,55526
2022-07-17,55616
2022-07-18,55771
2022-07-19,55944
2022-07-20,56120
2022-07-21,56272
2022-07-22,56452
2022-07-23,56557
2022-07-24,56681
2022-07-25,57101
2022-07-26,57288
2022-07-27,57434
2022-07-28,57672
2022-07-29,57904
2022-07-30,58076
2022-07-31,58228
2022-08-01,58371
2022-08-02,58555
2022-08-03,58724
2022-08-04,58898
2022-08-05,59045
2022-08-06,59114
2022-08-07,59246
2022-08-08,59385
2022-08-09,59566
2022-08-10,59757
2022-08-11,60257
2022-08-12,60455
2022-08-13,60923
2022-08-14,61106
2022-08-15,61296
2022-08-16,61450
2022-08-17,61642
2022-08-18,61827
2022-08-19,62014
2022-08-20,62117
2022-08-21,62224
2022-08-22,62356
2022-08-23,62531
2022-08-24,62703
2022-08-25,62888
2022-08-26,63038
2022-08-27,63183
2022-08-28,63325
2022-08-29,63489
2022-08-30,63643
2022-08-31,63798
2022-09-01,63927
2022-09-02,64033
2022-09-03,64202
2022-09-04,64352
2022-09-05,64553
2022-09-06,64718
2022-09-07,64912
2022-09-08,65106
2022-09-09,65303
2022-09-10,65456
2022-09-11,65653
2022-09-12,65837
2022-09-13,66070
2022-09-14,66317
2022-09-15,66527
2022-09-16,66718
2022-09-17,66881
2022-09-18,67034
2022-09-19,67231
2022-09-20,67516
2022-09-21,67880
2022-09-22,68111
2022-09-23,68296
2022-09-24,68482
2022-09-25,68669
2022-09-26,68950
2022-09-27,69217
2022-09-28,69492
2022-09-29,69747
2022-09-30,70011
2022-10-01,70169
2022-10-02,70335
2022-10-03,70576
2022-10-04,70855
2022-10-05,71053
2022-10-06,71283
2022-10-07,71533
2022-10-08,71803
2022-10-09,72043
2022-10-10,72285
2022-10-11,72533
2022-10-12,72813
2022-10-13,73020
2022-10-14,73388
2022-10-15,73581
2022-10-16,73799
2022-10-17,74104
2022-10-18,74371
2022-10-19,74621
